tick,freq_mean,freq_sd
239001,0.170561,0.235033
240001,0.170598,0.233169
241001,0.170436,0.234953
242001,0.170714,0.235098
243001,0.1712,0.235682
244001,0.171158,0.233765
245001,0.171105,0.234889
246001,0.171405,0.234809
247001,0.171508,0.234247
248001,0.171387,0.235172
249001,0.171633,0.2352
250001,0.171958,0.234286
251001,0.171837,0.235965
252001,0.171598,0.235586
253001,0.171911,0.233629
254001,0.171794,0.234912
255001,0.171955,0.232951
256001,0.171884,0.235743
257001,0.171775,0.235633
258001,0.172231,0.23524
259001,0.171945,0.235241
260001,0.171842,0.235844
261001,0.171246,0.236003
262001,0.171174,0.235101
263001,0.170693,0.23483
264001,0.170658,0.234923
265001,0.170534,0.234538
266001,0.170359,0.235074
267001,0.17046,0.234298
268001,0.170736,0.234169
269001,0.17052,0.234425
270001,0.170651,0.233685
271001,0.171173,0.234313
272001,0.170866,0.235169
273001,0.171231,0.235771
274001,0.171833,0.234298
275001,0.172022,0.23478
276001,0.171608,0.235382
277001,0.172081,0.235871
278001,0.172246,0.23417
279001,0.172122,0.236013
280001,0.171935,0.235903
281001,0.171623,0.234451
282001,0.172477,0.2355
283001,0.172261,0.235455
284001,0.172645,0.234676
285001,0.172444,0.236255
286001,0.17281,0.235902
287001,0.172995,0.235554
288001,0.172742,0.236693
289001,0.172604,0.235974
290001,0.17325,0.233992
291001,0.173532,0.235126
292001,0.173996,0.233637
293001,0.173805,0.236354
294001,0.173758,0.235298
295001,0.174478,0.235395
296001,0.174796,0.236858
297001,0.17506,0.235526
298001,0.175206,0.235741
299001,0.175761,0.233292
300001,0.175536,0.237364
301001,0.175803,0.234874
302001,0.175844,0.233404
303001,0.175859,0.23661
304001,0.175324,0.236978
305001,0.175752,0.235264
306001,0.175098,0.23629
307001,0.174644,0.236065
308001,0.175132,0.23461
309001,0.175908,0.235656
310001,0.175649,0.235718
311001,0.175601,0.235868
312001,0.175495,0.236138
313001,0.175694,0.234422
314001,0.175797,0.236263
315001,0.175486,0.236501
316001,0.175651,0.237486
317001,0.175898,0.236233
318001,0.175748,0.23622
319001,0.175448,0.237214
320001,0.175528,0.236074
321001,0.176064,0.235726
322001,0.175784,0.237088
323001,0.17577,0.237129
324001,0.175345,0.236647
325001,0.175268,0.236528
326001,0.175932,0.235928
327001,0.175691,0.236142
328001,0.175371,0.236417
329001,0.17518,0.236896
330001,0.175199,0.234248
331001,0.175384,0.235933
332001,0.175117,0.236173
333001,0.175109,0.236433
334001,0.175123,0.236736
335001,0.175642,0.236801
336001,0.175794,0.235022
337001,0.175798,0.235899
338001,0.175644,0.237286
339001,0.175088,0.236913
340001,0.175514,0.235095
341001,0.175418,0.235683
342001,0.175756,0.235615
343001,0.175365,0.23609
344001,0.175122,0.236928
345001,0.175083,0.23553
346001,0.175041,0.234931
347001,0.175727,0.233315
348001,0.1754,0.236536
349001,0.175278,0.236458
350001,0.175261,0.235952
351001,0.174891,0.236886
352001,0.174953,0.236409
353001,0.175009,0.236526
354001,0.174892,0.235817
355001,0.174559,0.2365
356001,0.174747,0.235617
357001,0.174691,0.235705
358001,0.1742,0.234913
359001,0.174222,0.234667
360001,0.174274,0.236156
361001,0.173895,0.236311
362001,0.174158,0.235565
363001,0.17424,0.236801
364001,0.174307,0.236022
365001,0.174578,0.236667
366001,0.174267,0.235811
367001,0.174845,0.235915
368001,0.175467,0.235889
369001,0.175128,0.236687
370001,0.175392,0.234585
371001,0.17516,0.236681
372001,0.174958,0.235746
373001,0.17489,0.236818
374001,0.174736,0.235589
375001,0.174292,0.235989
376001,0.174705,0.235815
377001,0.174587,0.236213
378001,0.174014,0.236509
379001,0.17362,0.236052
380001,0.173813,0.235967
381001,0.17394,0.23614
382001,0.17338,0.236453
383001,0.173166,0.236176
384001,0.173269,0.236648
385001,0.173604,0.234829
386001,0.173543,0.235832
387001,0.173609,0.236372
388001,0.173149,0.236005
389001,0.173211,0.235782
390001,0.172771,0.236324
391001,0.172956,0.23523
392001,0.17318,0.234746
393001,0.172807,0.235032
394001,0.172624,0.234737
395001,0.172409,0.23617
396001,0.17212,0.235999
397001,0.172353,0.233362
398001,0.17162,0.235908
399001,0.171334,0.234558
